# 2011 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2011/03/29
# MJD: 55649
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# C3    CARMA3
# JC    JCMT
# SM    SMA
# CS    CSO
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
|   153.25 | C2 | SM | -2620846336.0 | -1474142336.0 |  0.313 | 0.0745 |
|   153.25 | CS | SM |     -149441.0 |      156158.0 |   1.66 | 0.0325 |
| 153.6833 | AZ | C1 |  -596943616.0 |   276925088.0 |  0.814 | 0.0559 |
| 153.6833 | AZ | C2 |  -596943360.0 |   276864192.0 |  0.814 | 0.0589 |
| 153.6833 | AZ | C3 |  -596981760.0 |   276952000.0 |  0.814 | 0.1005 |
| 153.6833 | AZ | SM | -3090076160.0 | -1259762688.0 |  0.186 | 0.0564 |
| 153.6833 | C1 | C2 |         278.0 |      -60892.0 |   1.66 | 0.0715 |
| 153.6833 | C1 | SM | -2493132544.0 | -1536687744.0 |  0.274 |  0.091 |
| 153.6833 | C2 | C3 |      -38388.0 |       87806.0 |   1.66 | 0.1094 |
| 153.6833 | C2 | SM | -2493132800.0 | -1536626944.0 |  0.301 | 0.0624 |
| 153.6833 | CS | SM |     -157336.0 |      152410.0 |   1.66 | 0.0262 |
| 154.1167 | AZ | C1 |  -575288256.0 |   262602320.0 |   0.81 | 0.0528 |
| 154.1167 | AZ | C2 |  -575282240.0 |   262541504.0 |   0.81 | 0.0682 |
| 154.1167 | AZ | C3 |  -575325568.0 |   262628304.0 |  0.894 | 0.1119 |
| 154.1167 | C1 | C2 |        6020.0 |      -60815.0 |   1.66 | 0.0791 |
| 154.1167 | C1 | CS | -2333021952.0 | -1595806080.0 |  0.303 | 0.1038 |
| 154.1167 | C1 | SM | -2333185280.0 | -1595657600.0 |  0.303 | 0.0686 |
| 154.1167 | C2 | C3 |      -43321.0 |       86807.0 |   1.66 |  0.149 |
| 154.1167 | C2 | SM | -2333191168.0 | -1595596800.0 |  0.358 | 0.0615 |
| 154.1167 | C3 | SM | -2333147904.0 | -1595683584.0 |  0.279 | 0.1061 |
| 154.1167 | CS | SM |     -163196.0 |      148493.0 |   1.66 | 0.0247 |
|   154.55 | AZ | C1 |  -546196352.0 |   248899584.0 |  0.816 | 0.0897 |
|   154.55 | AZ | C2 |  -546184640.0 |   248838992.0 |  0.816 | 0.0781 |
|   154.55 | AZ | C3 |  -546232384.0 |   248924688.0 |  0.816 | 0.1061 |
|   154.55 | AZ | SM | -2689273856.0 | -1401450752.0 |  0.183 | 0.0511 |
|   154.55 | C1 | C2 |       11685.0 |      -60599.0 |   1.66 | 0.1154 |
|   154.55 | C2 | C3 |      -47694.0 |       85695.0 |   1.66 | 0.1645 |
|   154.55 | C2 | SM | -2143089280.0 | -1650289664.0 |  0.356 | 0.0734 |
|   154.55 | CS | SM |     -166947.0 |      144459.0 |   1.66 | 0.0255 |
| 154.9833 | AZ | C1 |  -510043872.0 |   235994032.0 |  0.836 |  0.063 |
| 154.9833 | AZ | C2 |  -510026688.0 |   235933792.0 |  0.836 | 0.0889 |
| 154.9833 | AZ | C3 |  -510078144.0 |   236018272.0 |  0.831 | 0.1255 |
| 154.9833 | C1 | C2 |       17198.0 |      -60246.0 |   1.66 | 0.0995 |
| 154.9833 | C1 | CS | -1925098368.0 | -1700199296.0 |  0.356 | 0.1167 |
| 154.9833 | C1 | SM | -1925266944.0 | -1700058880.0 |  0.356 | 0.0667 |
| 154.9833 | C2 | C3 |      -51451.0 |       84484.0 |   1.66 | 0.1912 |
| 154.9833 | C2 | SM | -1925284096.0 | -1699998720.0 |   0.32 | 0.0901 |
| 154.9833 | C3 | SM | -1925232640.0 | -1700083200.0 |  0.323 | 0.0956 |
| 154.9833 | CS | SM |     -168540.0 |      140360.0 |   1.66 | 0.0245 |
